CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12551,358,1,168.0,1,1,1,111
12552,39,2,437.82,3,2,3,323
12553,9,10,3482.7,5,5,5,555
12556,51,2,599.56,3,2,3,323
12558,8,1,195.08,5,1,1,511
12559,320,1,379.90999999999997,1,1,2,112
12560,6,3,2093.21,5,3,5,535
12561,303,1,238.85,1,1,2,112
12562,9,7,3449.94,5,5,5,555
12564,262,1,456.9,1,1,3,113
12565,289,1,145.92,1,1,1,111
12566,87,1,332.93,2,1,2,212
12567,23,10,9268.68,4,5,5,455
12569,3,32,4052.09,5,5,5,555
12571,40,2,489.37,3,2,3,323
12572,9,2,968.22,5,2,4,524
12573,228,1,160.54000000000002,1,1,1,111
12574,316,1,218.45,1,1,2,112
12576,36,5,1297.11,3,4,4,344
12577,36,3,626.6,3,3,3,333
12578,22,2,2771.11,4,2,5,425
12579,79,1,440.42,2,1,3,213
12580,247,1,415.7,1,1,3,113
12581,40,1,197.71,3,1,1,311
12582,239,2,473.92,1,2,3,123
12583,3,15,6156.94,5,5,5,555
12584,4,9,2338.15,5,5,5,555
12585,235,2,1793.7,1,2,5,125
12586,18,1,196.94000000000003,4,1,1,411
12587,8,1,144.0,5,1,1,511
12588,40,1,214.89999999999998,3,1,2,312
12589,29,2,646.68,4,2,3,423
12590,212,2,1675.6599999999999,1,2,4,124
12591,318,1,452.84999999999997,1,1,3,113
12592,93,2,386.6,2,2,2,222
12593,109,3,418.09999999999997,2,3,3,233
12594,47,9,2900.28,3,5,5,355
12596,52,2,509.07,3,2,3,323
12597,20,4,3646.82,4,4,5,445
12598,10,8,2632.58,5,5,5,555
12599,30,7,908.38,4,5,4,454
12600,29,10,2284.2200000000003,4,5,5,455
12601,190,5,501.46,1,4,3,143
12602,59,1,153.12,3,1,1,311
12603,22,1,126.0,4,1,1,411
12604,80,2,254.18,2,2,2,222
12607,61,1,1556.11,3,1,4,314
12609,79,3,1089.41,2,3,4,234
12610,23,5,2099.54,4,4,5,445
12611,53,1,1049.32,3,1,4,314
12612,75,1,690.0,2,1,3,213
12613,58,5,3233.2,3,4,5,345
12614,278,1,315.6,1,1,2,112
12615,3,4,1951.39,5,4,5,545
12616,96,2,713.3,2,2,3,223
12617,30,1,352.98,4,1,2,412
12618,22,1,177.31,4,1,1,411
12619,17,9,1572.6,4,5,4,454
12620,15,3,1185.8899999999999,5,3,4,534
12621,2,20,10144.23,5,5,5,555
12622,233,1,180.1,1,1,1,111
12623,277,1,305.1,1,1,2,112
12624,107,2,641.13,2,2,3,223
12625,212,2,2242.22,1,2,5,125
12626,24,9,6246.04,4,5,5,455
12627,11,7,4306.05,5,5,5,555
12628,5,3,736.46,5,3,3,533
12630,10,2,1270.88,5,2,4,524
12631,58,1,640.5,3,1,3,313
12633,59,4,1700.34,3,4,5,345
12635,90,2,1654.94,2,2,4,224
12637,68,8,5925.14,3,5,5,355
12638,34,1,658.25,3,1,3,313
12639,239,1,486.1,1,1,3,113
12640,24,3,1174.58,4,3,4,434
12641,116,1,185.9,2,1,1,211
12642,26,3,905.62,4,3,4,434
12643,129,6,374.28,2,5,2,252
12644,130,1,463.87,2,1,3,213
12645,34,4,1550.18,3,4,4,344
12646,5,2,916.21,5,2,4,524
12647,23,12,2850.62,4,5,5,455
12648,155,1,318.05,2,1,2,212
12649,108,3,567.0500000000001,2,3,3,233
12650,4,1,314.44,5,1,2,512
12651,335,1,114.0,1,1,1,111
12652,332,1,919.98,1,1,4,114
12653,149,2,1203.41,2,2,4,224
12654,11,5,601.98,5,4,3,543
12656,18,5,2755.85,4,4,5,445
12657,12,4,1297.1000000000001,5,4,4,544
12658,19,1,686.05,4,1,3,413
12659,30,1,63.6,4,1,1,411
12660,12,1,221.7,5,1,2,512
12662,1,11,3837.1800000000003,5,5,5,555
12664,9,9,896.8,5,5,4,554
12665,325,1,63.0,1,1,1,111
12667,59,1,620.13,3,1,3,313
12668,12,4,3621.95,5,4,5,545
12669,151,3,2736.47,2,3,5,235
12670,11,5,2583.97,5,4,5,545
12672,330,1,225.89999999999998,1,1,2,112
12673,6,2,604.22,5,2,3,523
12674,39,4,1700.54,3,4,5,345
12676,25,6,1271.39,4,5,4,454
12678,43,11,2784.9,3,5,5,355
12679,59,4,884.06,3,4,4,344
12680,1,4,848.77,5,4,4,544
12681,15,22,12412.0,5,5,5,555
12682,4,31,10653.34,5,5,5,555
12683,5,15,7196.41,5,5,5,555
12684,8,7,1873.19,5,5,5,555
12685,29,6,2849.4,4,5,5,455
12686,372,1,89.14,1,1,1,111
12688,114,1,3658.89,2,1,5,215
12689,26,2,1247.61,4,2,4,424
12690,206,1,389.01,1,1,2,112
12691,29,6,818.0,4,5,4,454
12693,128,4,855.91,2,4,4,244
12694,71,2,822.87,3,2,4,324
12695,8,4,568.0600000000001,5,4,3,543
12697,29,3,876.71,4,3,4,434
12700,8,4,4686.89,5,4,5,545
12701,80,2,790.15,2,2,4,224
12702,20,1,219.0,4,1,2,412
12703,72,1,283.55,3,1,2,312
12704,8,8,2014.68,5,5,5,555
12705,16,9,6482.85,4,5,5,455
12707,292,1,603.42,1,1,3,113
12708,30,10,2712.91,4,5,5,455
12709,16,15,6857.72,4,5,5,455
12710,97,3,1125.62,2,3,4,234
12712,29,13,4349.33,4,5,5,455
12713,1,1,848.55,5,1,4,514
12714,10,5,4482.88,5,4,5,545
12715,107,1,343.36,2,1,2,212
12716,4,2,1039.81,5,2,4,524
12717,152,2,1030.98,2,2,4,224
12718,72,1,238.25,3,1,2,312
12719,6,2,644.95,5,2,3,523
12720,3,25,5444.89,5,5,5,555
12721,32,6,2601.29,4,5,5,455
12722,86,4,916.03,2,4,4,244
12723,4,5,711.03,5,4,3,543
12724,6,4,1031.41,5,4,4,544
12725,372,1,427.8,1,1,3,113
12726,29,7,1748.1,4,5,5,455
12727,11,7,3799.02,5,5,5,555
12728,72,4,795.53,3,4,4,344
12729,114,1,453.01,2,1,3,213
12731,24,11,10168.289999999999,4,5,5,455
12732,180,1,196.26000000000002,2,1,1,211
12733,235,1,353.35,1,1,2,112
12734,353,1,110.39999999999999,1,1,1,111
12735,316,2,779.5699999999999,1,2,4,124
12736,333,1,183.6,1,1,1,111
12738,373,1,155.35,1,1,1,111
12739,79,2,975.5999999999999,2,2,4,224
12740,64,1,393.6,3,1,2,312
12743,135,2,540.13,2,2,3,223
12744,52,7,18125.83,3,5,5,355
12747,3,11,3073.41,5,5,5,555
12748,1,203,25640.52,5,5,5,555
12749,4,5,4032.98,5,4,5,545
12750,129,1,275.88,2,1,2,212
12752,82,1,1369.82,2,1,4,214
12753,23,6,2580.07,4,5,5,455
12754,278,2,61.62,1,2,1,121
12755,281,1,17.549999999999997,1,1,1,111
12756,87,1,50.879999999999995,2,1,1,211
12757,16,12,7062.35,4,5,5,455
12758,117,2,1532.19,2,2,4,224
12759,53,3,1508.04,3,3,4,334
12762,8,2,1423.8,5,2,4,524
12763,370,1,320.08,1,1,2,112
12764,317,1,1693.88,1,1,5,115
12766,4,7,6700.37,5,5,5,555
12769,239,1,1143.6,1,1,4,114
12770,211,1,170.04999999999998,1,1,1,111
12772,60,1,892.47,3,1,4,314
12775,18,5,1220.44,4,4,4,444
12778,20,6,680.99,4,5,3,453
12779,38,8,3431.88,3,5,5,355
12781,64,2,634.54,3,2,3,323
12782,5,5,2269.12,5,4,5,545
12783,3,6,2211.99,5,5,5,555
12784,10,2,532.8199999999999,5,2,3,523
12785,365,1,311.95,1,1,2,112
12787,10,3,401.26,5,3,2,532
12789,66,1,91.85,3,1,1,311
12790,193,1,324.92,1,1,2,112
12791,374,1,15.0,1,1,1,111
12792,257,1,400.53999999999996,1,1,2,112
12793,335,2,479.48,1,2,3,123
12794,54,2,815.41,3,2,4,324
12795,19,1,430.48,4,1,3,413
12797,366,1,254.03,1,1,2,112
12802,187,1,427.58,1,1,3,113
12808,37,3,483.65000000000003,3,3,3,333
12809,178,1,489.31,2,1,3,213
12811,261,3,491.45,1,3,3,133
12812,45,1,229.64000000000001,3,1,2,312
12814,102,1,40.0,2,1,1,211
12815,148,2,1037.96,2,2,4,224
12816,96,2,572.2,2,2,3,223
12817,282,1,166.04,1,1,1,111
12818,262,1,747.2,1,1,3,113
12820,4,4,923.62,5,4,4,544
12821,215,1,92.72,1,1,1,111
12822,71,2,806.08,3,2,4,324
12824,60,1,397.12,3,1,2,312
12826,3,7,1460.8,5,5,4,554
12827,6,3,430.15000000000003,5,3,3,533
12828,3,6,1018.71,5,5,4,554
12829,337,2,221.0,1,2,2,122
12831,263,1,150.25,1,1,1,111
12832,33,2,383.03,4,2,2,422
12833,146,1,417.38,2,1,3,213
12834,283,1,312.38,1,1,2,112
12836,60,4,2515.77,3,4,5,345
12837,174,1,134.1,2,1,1,211
12838,34,2,671.95,3,2,3,323
12839,3,14,5287.57,5,5,5,555
12840,144,4,2726.77,2,4,5,245
12841,5,25,3597.92,5,5,5,555
12842,71,2,738.51,3,2,3,323
12843,66,8,1608.54,3,5,4,354
12844,30,2,325.96000000000004,4,2,2,422
12845,269,2,71.79,1,2,1,121
12847,23,1,672.64,4,1,3,413
12849,32,2,837.89,4,2,4,424
12851,97,1,131.81,2,1,1,211
12852,295,1,311.55,1,1,2,112
12853,135,6,1743.9,2,5,5,255
12854,79,3,1181.05,2,3,4,234
12855,373,1,38.1,1,1,1,111
12856,8,6,2129.98,5,5,5,555
12857,211,2,1106.4,1,2,4,124
12863,53,1,109.2,3,1,1,311
12864,139,1,10.2,2,1,1,211
12865,27,2,1548.07,4,2,4,424
12866,284,1,559.12,1,1,3,113
12867,27,7,3692.94,4,5,5,455
12868,186,6,1607.0600000000002,1,5,4,154
12871,85,2,135.84,2,2,1,221
12872,327,2,562.47,1,2,3,123
12873,283,1,68.0,1,1,1,111
12876,58,2,1455.42,3,2,4,324
12877,4,12,1512.6100000000001,5,5,4,554
12878,237,2,854.99,1,2,4,124
12879,45,3,220.66,3,3,2,332
12881,276,1,298.0,1,1,2,112
12882,10,2,995.4,5,2,4,524
12883,25,4,703.47,4,4,3,443
12884,89,1,309.05,2,1,2,212
12885,64,3,1175.22,3,3,4,334
12886,68,2,1319.96,3,2,4,324
12888,215,2,354.12,1,2,2,122
12890,25,1,369.88,4,1,2,412
12893,31,1,176.55,4,1,1,411
12895,43,2,372.8,3,2,2,322
12897,205,2,100.50000000000001,1,2,1,121
12901,11,15,1315.35,5,5,4,554
12902,265,1,138.68,1,1,1,111
12904,19,2,465.31,4,2,3,423
12906,12,5,1190.17,5,4,4,544
12909,40,5,1802.6299999999999,3,4,5,345
12910,24,8,2297.02,4,5,5,455
12912,9,4,834.66,5,4,4,544
12913,5,5,1118.45,5,4,4,544
12915,149,2,363.65,2,2,2,222
12916,139,4,2414.55,2,4,5,245
12919,9,6,1227.91,5,5,4,554
12920,18,1,148.74,4,1,1,411
12921,10,37,13833.57,5,5,5,555
12922,162,1,377.3,2,1,2,212
12923,65,1,172.82,3,1,1,311
12924,89,4,664.9,2,4,3,243
12925,5,2,680.13,5,2,3,523
12928,36,5,1739.74,3,4,5,345
12929,312,1,117.85,1,1,1,111
12930,79,2,402.36,2,2,2,222
12931,68,2,48.160000000000004,3,2,1,321
12933,25,3,508.07,4,3,3,433
12935,3,7,2005.9,5,5,5,555
12936,18,3,911.9,4,3,4,434
12937,16,4,1279.8700000000001,4,4,4,444
12938,26,1,100.22,4,1,1,411
12939,335,1,81.36,1,1,1,111
12940,55,2,890.57,3,2,4,324
12942,132,3,675.6,2,3,3,233
12944,36,2,604.51,3,2,3,323
12945,289,1,404.95,1,1,2,112
12947,144,5,1534.99,2,4,4,244
12948,17,7,2032.31,4,5,5,455
12949,31,8,4084.82,4,5,5,455
12950,9,2,284.2,5,2,2,522
12951,9,6,1064.07,5,5,4,554
12952,6,4,1327.31,5,4,4,544
12953,10,1,329.85,5,1,2,512
12955,2,11,3379.66,5,5,5,555
12956,307,1,108.07,1,1,1,111
12957,10,8,3949.54,5,5,5,555
12962,8,2,266.39,5,2,2,522
12963,9,8,1837.91,5,5,5,555
12965,90,1,769.8100000000001,2,1,3,213
12966,10,1,160.18,5,1,1,511
12967,359,2,966.7,1,2,4,124
12968,113,1,135.95,2,1,1,211
12970,8,4,390.35,5,4,2,542
12971,4,80,5895.280000000001,5,5,5,555
12974,198,1,144.8,1,1,1,111
12976,212,1,303.6,1,1,2,112
12977,157,1,39.239999999999995,2,1,1,211
12980,158,8,4962.900000000001,2,5,5,255
12981,30,2,372.21999999999997,4,2,2,422
12982,243,1,376.5,1,1,2,112
12984,19,1,97.5,4,1,1,411
12985,1,2,1048.82,5,2,4,524
12987,74,2,558.7,2,2,3,223
12988,293,1,505.82,1,1,3,113
12989,4,10,1719.23,5,5,5,555
12990,32,3,351.0,4,3,2,432
12991,24,2,461.26,4,2,3,423
12993,24,4,414.76,4,4,3,443
12994,5,3,974.4200000000001,5,3,4,534
12997,23,4,1035.49,4,4,4,444
12999,197,3,401.28,1,3,2,132
13000,260,2,439.81,1,2,3,123
13001,5,13,5143.15,5,5,5,555
13002,319,1,120.94999999999999,1,1,1,111
13003,152,2,89.05000000000001,2,2,1,221
13004,12,18,5494.11,5,5,5,555
13005,174,2,513.7,2,2,3,223
13006,57,1,81.57,3,1,1,311
13008,324,1,229.46999999999997,1,1,2,112
13011,373,1,50.550000000000004,1,1,1,111
13012,10,8,1632.8,5,5,4,554
13013,2,13,4654.1,5,5,5,555
13014,11,10,3387.08,5,5,5,555
13015,54,5,3315.04,3,4,5,345
13016,74,3,789.89,2,3,4,234
13018,17,28,6974.82,4,5,5,455
13021,5,9,2358.26,5,5,5,555
13023,65,2,675.86,3,2,3,323
13026,2,4,341.88,5,4,2,542
13028,23,2,613.4399999999999,4,2,3,423
13029,31,2,865.0,4,2,4,424
13030,12,2,752.4399999999999,5,2,3,523
13032,53,2,1010.18,3,2,4,324
13033,358,1,190.55,1,1,1,111
13034,55,2,642.77,3,2,3,323
13035,74,2,349.20000000000005,2,2,2,222
13037,139,3,881.07,2,3,4,234
13038,81,3,908.46,2,3,4,234
13040,9,2,676.99,5,2,3,523
13043,274,1,327.3,1,1,2,112
13044,292,1,560.47,1,1,3,113
13045,100,1,305.28000000000003,2,1,2,212
13046,31,2,629.31,4,2,3,423
13047,32,10,3183.46,4,5,5,455
13048,15,4,1819.41,5,4,5,545
13049,65,2,479.08,3,2,3,323
13050,15,17,5524.38,5,5,5,555
13052,213,1,295.05,1,1,2,112
13055,79,3,1173.61,2,3,4,234
13058,25,3,271.40000000000003,4,3,2,432
13059,250,1,183.4,1,1,1,111
13060,254,1,307.53,1,1,2,112
13061,73,1,248.61,2,1,2,212
13062,192,1,286.5,1,1,2,112
13064,13,4,1070.67,5,4,4,544
13065,374,1,205.86,1,1,2,112
13066,25,2,470.8,4,2,3,423
13067,83,1,115.46000000000001,2,1,1,211
13069,1,24,3588.84,5,5,5,555
13070,193,1,228.8,1,1,2,112
13072,267,1,177.15,1,1,1,111
13075,130,1,477.21,2,1,3,213
13077,2,4,652.8100000000001,5,4,3,543
13078,4,26,8503.34,5,5,5,555
13079,5,5,220.10000000000002,5,4,2,542
13080,180,1,58.08,2,1,1,211
13081,12,10,20507.58,5,5,5,555
13082,127,9,1331.71,2,5,4,254
13083,5,2,303.75,5,2,2,522
13085,158,2,315.28000000000003,2,2,2,222
13089,3,89,43359.28,5,5,5,555
13090,9,14,6101.22,5,5,5,555
13091,29,1,281.08,4,1,2,412
13092,71,5,469.51,3,4,3,343
13093,276,8,4322.27,1,5,5,155
13094,206,2,106.2,1,2,1,121
13095,71,1,60.48,3,1,1,311
13097,33,10,5757.7,4,5,5,455
13098,2,27,12990.48,5,5,5,555
13101,235,1,75.45,1,1,1,111
13102,2,24,5689.09,5,5,5,555
13103,40,1,243.94,3,1,2,312
13104,4,4,570.48,5,4,3,543
13106,134,1,76.5,2,1,1,211
13107,45,4,1141.5,3,4,4,344
13108,373,1,197.29999999999998,1,1,1,111
13109,60,2,779.7,3,2,4,324
13110,32,7,1488.67,4,5,4,454
13113,1,24,5810.54,5,5,5,555
13115,12,4,2108.96,5,4,5,545
13116,139,1,501.14,2,1,3,213
13117,22,8,932.35,4,5,4,454
13118,20,5,1197.81,4,4,4,444
13120,239,1,30.599999999999998,1,1,1,111
13121,270,1,268.61,1,1,2,112
13122,241,1,884.95,1,1,4,114
13124,90,3,3355.33,2,3,5,235
13126,5,8,1961.52,5,5,5,555
13127,78,1,259.17,2,1,2,212
13130,95,1,64.0,2,1,1,211
13131,24,3,996.8,4,3,4,434
13132,262,1,77.3,1,1,1,111
13133,274,2,109.8,1,2,1,121
13134,86,4,1720.14,2,4,5,245
13136,57,5,2607.61,3,4,5,345
13137,11,8,3589.37,5,5,5,555
13138,23,6,962.39,4,5,4,454
13139,17,7,3482.64,4,5,5,455
13140,109,3,422.47,2,3,3,233
13141,85,5,2348.43,2,4,5,245
13142,20,1,245.77,4,1,2,412
13144,333,1,110.95,1,1,1,111
13145,40,4,592.6,3,4,3,343
13146,27,1,228.91,4,1,2,412
13147,44,2,237.60000000000002,3,2,2,322
13148,30,12,3566.76,4,5,5,455
13149,15,4,1463.18,5,4,4,544
13151,296,1,1227.27,1,1,4,114
13153,6,1,140.46,5,1,1,511
13155,34,4,971.76,3,4,4,344
13157,50,4,1515.98,3,4,4,344
13158,95,4,1193.5,2,4,4,244
13159,9,4,1403.79,5,4,4,544
13160,23,1,91.8,4,1,1,411
13161,314,1,112.75,1,1,1,111
13162,123,4,1195.95,2,4,4,244
13165,47,2,349.28,3,2,2,322
13166,284,1,417.2,1,1,3,113
13167,19,4,625.61,4,4,3,443
13168,37,4,1299.59,3,4,4,344
13169,64,2,661.1,3,2,3,323
13170,27,1,101.97,4,1,1,411
13171,22,3,468.41,4,3,3,433
13173,5,2,340.21,5,2,2,522
13174,17,3,2684.23,4,3,5,435
13176,47,1,387.53,3,1,2,312
13177,65,1,282.45,3,1,2,312
13178,27,11,4760.55,4,5,5,455
13182,46,1,121.18,3,1,1,311
13183,8,9,1278.78,5,5,4,554
13184,15,10,1451.87,5,5,4,554
13185,268,1,71.4,1,1,1,111
13186,40,3,1562.77,3,3,4,334
13187,338,1,236.02,1,1,2,112
13188,12,1,114.60000000000001,5,1,1,511
13189,19,2,167.28,4,2,1,421
13192,96,2,911.94,2,2,4,224
13193,62,1,112.08,3,1,1,311
13194,136,1,60.7,2,1,1,211
13196,12,4,1797.78,5,4,5,545
13198,11,6,3342.8,5,5,5,555
13199,8,21,3733.6,5,5,5,555
13200,20,4,726.57,4,4,3,443
13203,10,4,848.58,5,4,4,544
13207,16,2,250.26000000000002,4,2,2,422
13208,59,6,1172.65,3,5,4,354
13209,31,7,5269.01,4,5,5,455
13210,94,1,293.0,2,1,2,212
13211,11,3,483.42,5,3,3,533
13212,20,3,786.83,4,3,4,434
13213,57,5,1338.58,3,4,4,344
13216,268,1,10.5,1,1,1,111
13217,123,1,52.02,2,1,1,211
13218,128,1,56.76,2,1,1,211
13220,79,4,819.2900000000001,2,4,4,244
13221,241,2,847.41,1,2,4,124
13223,201,1,62.4,1,1,1,111
13224,61,2,1892.92,3,2,5,325
13226,274,1,108.21000000000001,1,1,1,111
13227,202,1,257.7,1,1,2,112
13229,226,1,160.95,1,1,1,111
13230,5,14,2696.95,5,5,5,555
13232,13,7,1262.11,5,5,4,554
13233,75,2,477.2,2,2,3,223
13235,213,1,955.47,1,1,4,114
13236,25,2,695.53,4,2,3,423
13238,24,3,596.73,4,3,3,433
13239,262,1,292.12,1,1,2,112
13240,97,4,663.65,2,4,3,243
13242,113,3,270.40000000000003,2,3,2,232
13243,204,1,585.12,1,1,3,113
13244,93,1,121.74000000000001,2,1,1,211
13245,51,1,430.5,3,1,3,313
13246,19,6,901.98,4,5,4,454
13247,18,4,474.72,4,4,3,443
13248,125,2,446.96,2,2,3,223
13249,94,1,127.73,2,1,1,211
13253,157,2,419.96,2,2,3,223
13255,10,2,309.51,5,2,2,522
13258,12,3,533.23,5,3,3,533
13259,62,1,283.18,3,1,2,312
13260,62,1,380.92,3,1,2,312
13261,269,2,772.5,1,2,3,123
13262,264,1,200.29,1,1,1,111
13263,2,35,7184.31,5,5,5,555
13265,54,5,1482.6200000000001,3,4,4,344
13266,12,12,2442.06,5,5,5,555
13267,3,19,4417.49,5,5,5,555
13268,18,10,2878.21,4,5,5,455
13269,2,15,4751.56,5,5,5,555
13271,38,1,211.49,3,1,2,312
13272,32,2,276.56,4,2,2,422
13273,114,1,128.54,2,1,1,211
13276,64,2,590.9300000000001,3,2,3,323
13277,16,3,159.4,4,3,1,431
13278,41,1,474.81,3,1,3,313
13279,79,1,137.75,2,1,1,211
13280,123,3,790.9,2,3,4,234
13282,19,3,1132.14,4,3,4,434
13283,60,2,93.66,3,2,1,321
13284,331,1,201.19,1,1,1,111
13285,24,4,2709.12,4,4,5,445
13291,156,1,361.11,2,1,2,212
13292,39,2,548.6999999999999,3,2,3,323
13294,190,2,873.74,1,2,4,124
13295,360,1,201.20000000000002,1,1,1,111
13296,138,1,87.4,2,1,1,211
13297,8,4,1658.09,5,4,4,544
13298,2,1,90.0,5,1,1,511
13299,269,1,142.5,1,1,1,111
13300,170,1,371.89,2,1,2,212
